ID:0000000	/FSOV Concept/plant property
ID:0000241	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/virus
ID:0000244	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/fungal disease
ID:0000245	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/bacterial disease
ID:0000246	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/viral disease
ID:0000247	/FSOV Concept
ID:0000248	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/resistance to invertebrate pest/nematode resistance/resistance to root-knot nematode
ID:0000249	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/invertebrate/nematode/root-knot nematode
ID:0000250	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/fungal disease/root rot
ID:0000251	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/invertebrate/nematode/root-knot nematode/Meloidogyne spp.
ID:0000252	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/resistance to invertebrate pest/nematode resistance/resistance to root-knot nematode/resistance to Meloidogyne spp.
ID:0000253	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/viral disease/Chloris Striate Mosaic
ID:0000254	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/virus/Chloris Striate Mosaic virus
ID:0000255	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/virus/geminivirus
ID:0000256	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/virus/American Wheat Striate Mosaic virus
ID:0000257	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/viral disease/American Wheat Striate Mosaic
ID:0000258	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/viral disease/Anthoxanthum Mosaic
ID:0000259	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/virus/Anthoxanthum Mosaic virus
ID:0000260	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/virus/potyvirus
ID:0000261	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/virus/closterovirus
ID:0000262	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/virus/wheat dwarf virus
ID:0000263	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/virus/wheat streak mosaic virus
ID:0000264	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/viral disease/wheat streak mosaic
ID:0000265	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/bacterial disease/bacterial leaf blight
ID:0000266	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/bacteria/Pseudomonas syringae pv. syringae
ID:0000269	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/insect resistance/Cecidomyides resistance
ID:0000270	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/insect/Cecidomyides
ID:0000271	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/insect/Armyworm/Pseudaletia unipuncta
ID:0000272	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/insect/Armyworm
ID:0000273	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/insect/Armyworm/Faronta diffusa
ID:0000274	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/insect/Army Cutworm/Euxoa auxiliaris
ID:0000275	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/insect resistance/resistance to Army Cutworm/resistance to Euxoa auxiliaris
ID:0000276	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/insect resistance/Armyworm resistance/Pseudaletia unipuncta resistance
ID:0000277	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/insect resistance/Armyworm resistance/Faronta diffusa resistance
ID:0000278	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to root rot/resistance to Common Root Rot
ID:0000280	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/bacteria/phytoplasma/Aster yellows phytoplasma
ID:0000281	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/insect/leafhopper
ID:0000282	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/insect resistance/leafhopper resistance
ID:0000283	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/insect resistance/leafhopper resistance/resistance to Endria inimica
ID:0000284	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/insect resistance/leafhopper resistance/resistance to Macrosteles fascifrons
ID:0000285	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/insect resistance/leafhopper resistance/resistance to Macrosteles quadrilineatus
ID:0000286	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/insect/leafhopper/Endria inimica
ID:0000287	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/insect/leafhopper/Macrosteles fascifrons
ID:0000288	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/insect/leafhopper/Macrosteles quadrilineatus
ID:0000289	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/fungi/Xanthomonas campestris pv. translucens,/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/bacteria/Xanthomonas campestris pv. translucens
ID:0000290	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/bacterial disease/black chaff
ID:0000291	/Aster Yellows disease
ID:0000292	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/bacterial disease/yellow rot,/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/disease caused by nematode/yellow rot
ID:0000295	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/bacterial disease/basal glume rot
ID:0000296	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/bacteria/Pseudomonas syringae pv. atrofaciens
ID:0000297	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to bacterial disease/resistance to basal glume rot
ID:0000299	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/insect/Khapra beetle,/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/storage pest/Khapra beetle
ID:0000300	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/invertebrate/nematode/Anguina tritici
ID:0000301	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/disease caused by nematode/ear cockle
ID:0000303	/FSOV Concept/environmental condition/biotic condition/biotic stress/noxious plant/noxious weed/Cirsium arvense
ID:0000304	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/disease caused by nematode
ID:0000305	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/resistance to noxious weed/resistance to Cirsium arvense
ID:0000306	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/fungi/Alternaria triticina
ID:0000307	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/fungal disease/Alternaria Leaf Blight
ID:0000308	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/fungal disease/ergot
ID:0000309	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/fungi/Claviceps purpurea
ID:0000311	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/fungi/Bipolaris sorokiniana
ID:0000315	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/fungal disease/Fusarium head blight
ID:0000316	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/fungi/Fusarium graminearum
ID:0000318	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to Cephalosporium Leaf Stripe
ID:0000320	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/fungi/Cephalosporium gramineum
ID:0000321	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to wheat blast
ID:0000324	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/viral disease/wheat dwarf
ID:0000325	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/resistance to invertebrate pest/nematode resistance/resistance to seed gall nematode
ID:0000326	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/insect resistance/resistance to Khapra beetle,/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/storage pest resistance/resistance to Khapra beetle
ID:0000327	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/photosensitivity/sensitivity to photoperiod
ID:0000328	/FSOV Concept/environmental condition/abiotic condition/photoperiod
ID:0000329	/FSOV Concept/environmental condition/abiotic condition/water quantity/lack of water/drought/spring drought
ID:0000330	/FSOV Concept/plant property/food property/bread making quality/flour composition
ID:0000331	/FSOV Concept/plant property/food property/bread making quality/flour composition/gluten strength/gliadin content,/FSOV Concept/plant property/development character/seed characteristic/protein content of seed/gluten strength/gliadin content
ID:0000332	/FSOV Concept/plant property/food property/bread making quality/flour composition/gluten strength/glutenin content,/FSOV Concept/plant property/development character/seed characteristic/protein content of seed/gluten strength/glutenin content
ID:0000333	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/stress from soil/rhizotoxicity/metal toxicity
ID:0000334	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/stress from soil/rhizotoxicity/metal toxicity/heavy metal toxicity/cadmium toxicity
ID:0000335	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/stress from soil/rhizotoxicity/metalloid toxicity/boron toxicity
ID:0000336	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/stress from soil/rhizotoxicity/metalloid toxicity/arsenic toxicity
ID:0000337	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/stress from soil/rhizotoxicity/metal toxicity/heavy metal toxicity/copper toxicity
ID:0000338	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/stress from soil/rhizotoxicity/metal toxicity/heavy metal toxicity/mercury toxicity
ID:0000339	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/stress from soil/rhizotoxicity/metalloid toxicity
ID:0000340	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/stress from soil/aluminium resistance
ID:0000341	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/stress from soil/rhizotoxicity/metal toxicity/heavy metal toxicity
ID:0000343	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/stress from soil/rhizotoxicity/metal toxicity/heavy metal toxicity/lead toxicity
ID:0000344	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/stress from soil/rhizotoxicity/metal toxicity/heavy metal toxicity/manganese toxicity
ID:0000345	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/stress from soil/rhizotoxicity/metal toxicity/heavy metal toxicity/nickel toxicity
ID:0000346	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/stress from soil/rhizotoxicity/metal toxicity/heavy metal toxicity/zinc toxicity
ID:0000347	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/stress from soil/rhizotoxicity/metal toxicity/heavy metal toxicity/cobalt toxicity
ID:0000348	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/stress from soil/rhizotoxicity/metal toxicity/heavy metal toxicity/chrome toxicity
ID:0000351	/FSOV Concept/environmental condition/abiotic condition/soil property/soil mineral
ID:0000352	/FSOV Concept/plant property/development character/seed characteristic/seed dormancy/lack of seed dormancy
ID:0000353	/FSOV Concept/plant property/development character/seed characteristic/post-harvest seed dormancy
ID:0000358	/FSOV Concept/plant property/development character/crop yield/grain weight per ear
ID:0000359	/FSOV Concept/plant property/development character/plant tiller density/tiller number per plant
ID:0000361	/FSOV Concept/plant property/development character/crop yield/number of viable seeds per meter of row
ID:0000362	/FSOV Concept/plant property/development character/Number of ear-bearing tillers per meter row
ID:0000366	/FSOV Concept/plant property/development character/ear size
ID:0000368	/FSOV Concept/plant property/development character/leaf number
ID:0000369	/FSOV Concept/plant property/development character/vernalization/response to vernalization
ID:0000371	/FSOV Concept/plant property/development character/vernalization/response to vernalization/lack of vernalization requirement
ID:0000372	/FSOV Concept/plant property/development character/vernalization/response to vernalization/weak response to vernalization
ID:0000373	/FSOV Concept/plant property/development character/flag leaf emergence
ID:0000374	/FSOV Concept/plant property/development character/floral initiation
ID:0000375	/FSOV Concept/environmental condition/abiotic condition/water quantity/water stress
ID:0000376	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/stress from soil/rhizotoxicity
ID:0000377	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/chemosensitivity/resistance to chemicals/resistance to herbicides/resistance to chlorsulfuron
ID:0000378	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/chemosensitivity/resistance to chemicals/resistance to herbicides/resistance to imidazolinone
ID:0000379	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/insect resistance/Cecidomyides resistance/resistance to gall midge/resistance to orange wheat blossom midge
ID:0000380	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/insect/Cecidomyides/gall midge/orange wheat blossom midge
ID:0000381	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/insect resistance/Cecidomyides resistance/resistance to gall midge/wheat midge resistance
ID:0000382	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/insect/Cecidomyides/gall midge/wheat midge
ID:0000383	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to Mold
ID:0000384	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to Helminthosporium Leaf Blight/resistance to Spot Blotch
ID:0000385	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to root rot/resistance to Common Root Rot/resistance to Bipolaris sorokiniana,/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to Helminthosporium Leaf Blight/resistance to Spot Blotch/resistance to Bipolaris sorokiniana
ID:0000387	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to Mold/resistance to Snow Rot
ID:0030909	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/late blight resistance
ID:0030984	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/resistance to invertebrate pest/nematode resistance
ID:0030988	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance
ID:0030992	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/insect resistance/aphid resistance
ID:0030998	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/virus resistance
ID:0031007	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/virus resistance/resistance to geminivirus
ID:0031083	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen
ID:0031089	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to bacterial disease
ID:0031123	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/virus resistance/resistance to closterovirus
ID:0031133	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to mildew/resistance to Downy Mildew
ID:0031136	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/storage pest resistance/resistance to Lepidopteran insect
ID:0031147	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/resistance to invertebrate pest
ID:0031161	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to mildew
ID:0031164	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/virus resistance/resistance to potyvirus
ID:0031179	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/resistance to invertebrate pest/nematode resistance/resistance to cereal cyst nematode
ID:0031219	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to root rot/resistance to Rhizoctonia root rot
ID:0031247	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/insect resistance/Cecidomyides resistance/resistance to gall midge
ID:0038600	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/insect resistance
WP:0000000	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to bacterial disease/bacterial leaf blight resistance
WP:0000001	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to bacterial disease/resistance to yellow rot
WP:0000002	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to bacterial disease/resistance to black chaff
WP:0000006	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/nutrient deficiency/tolerance to micronutrient deficiency/tolerance to metal deficiency/tolerance to aluminium deficiency
WP:0000007	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/virus resistance/resistance to American Wheat Striate Mosaic
WP:0000008	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/virus resistance/resistance to Anthoxanthum Mosaic
WP:0000009	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to Anthracnose
WP:0000010	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/insect resistance/resistance to Army Cutworm
WP:0000011	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/insect resistance/Armyworm resistance
WP:0000012	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to Ascochyta Leaf Spot
WP:0000014	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/chemosensitivity/resistance to chemicals/resistance to herbicides/resistance to atrazine
WP:0000015	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/virus resistance/Chloris Striate Mosaic resistance
WP:0000017	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/insect resistance/billbug resistance
WP:0000018	/FSOV Concept/plant property/food property
WP:0000019	/FSOV Concept/plant property/food property/semolina characteristic
WP:0000020	/FSOV Concept/plant property/food property/semolina characteristic/semolina color
WP:0000021	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to root rot
WP:0000022	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to root rot/resistance to Pythium Root Rot
WP:0000023	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/storage pest resistance/resistance to Lepidopteran insect/wheat moth resistance
WP:0000024	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/storage pest resistance
